Brand Name,Website,Country,Category,Price Tier,API/Affiliate Available,Integration Type,Priority,Source,Logo Path,Logo Status
P.E Nation,pe-nation.com,Australia,Activewear,High,Yes,Affiliate,High,Competitor,,MISSING
Double Rainbouu,doublerainbouu.com,Australia,Contemporary,Mid-High,Limited,Manual,Low,Competitor,,MISSING
Rowie,rowie.com.au,Australia,Contemporary,Mid,Yes,Affiliate,Medium,Competitor,,MISSING
Rue Stiic,ruestiic.com,Australia,Contemporary,Mid,Yes,Affiliate,Medium,Competitor,,MISSING
Mara & Mine,maraandmine.com.au,Australia,Contemporary,Mid,Limited,Manual,Low,Competitor,,MISSING
Dissh,dissh.com.au,Australia,Fast Fashion,Budget-Mid,Yes,Affiliate,Medium,Competitor,,MISSING
Stelly,stellyclothing.com,Australia,Fast Fashion,Budget-Mid,Yes,Affiliate,Low,Competitor,,MISSING
Runaway The Label,runawaythelabel.com,Australia,Fast Fashion,Mid,Yes,Affiliate,Medium,Competitor,,MISSING
Hello Molly,hellomolly.com,Australia,Fast Fashion,Budget-Mid,Yes,Affiliate,Medium,Competitor,,MISSING
Meshki,meshki.com.au,Australia,Contemporary,Mid,Yes,Affiliate,High,Competitor,,MISSING
Sabina Musayev,sabinamusayev.com,US,Designer,High,Limited,Manual,Low,Competitor,,MISSING
Cinq à Sept,cinqasept.com,US,Designer,High,Yes,Affiliate,High,Competitor,,MISSING
A.L.C.,alcltd.com,US,Designer,High,Yes,Affiliate,High,Competitor,,MISSING
Ulla Johnson,ullajohnson.com,US,Designer,High,Yes,Affiliate,High,Competitor,,MISSING
Jonathan Simkhai,jonathansimkhai.com,US,Designer,High,Yes,Affiliate,Medium,Competitor,,MISSING
Rebecca Taylor,rebeccataylor.com,US,Designer,High,Yes,Affiliate,High,Competitor,,MISSING
Parker NY,parkern y.com,US,Designer,High,Yes,Affiliate,Medium,Competitor,,MISSING
Yumi Kim,yumikim.com,US,Contemporary,Mid-High,Yes,Affiliate,Medium,Competitor,,MISSING
Joie,joie.com,US,Contemporary,High,Yes,Affiliate,High,Competitor,,MISSING
Vince,vince.com,US,Contemporary,High,Yes,Affiliate,High,Phia,,MISSING
Splendid,splendid.com,US,Contemporary,Mid,Yes,Affiliate,Medium,Competitor,,MISSING
James Perse,jamesperse.com,US,Contemporary,High,Yes,Affiliate,Medium,Competitor,,MISSING
ATM Anthony Thomas Melillo,atmanth onyth omasmelillo.com,US,Contemporary,High,Limited,Manual,Low,Competitor,,MISSING
LNA,lnabrand.com,US,Contemporary,Mid,Yes,Affiliate,Low,Competitor,,MISSING
Velvet,velvet-tees.com,US,Contemporary,Mid,Yes,Affiliate,Low,Competitor,,MISSING
Current/Elliott,currentelliott.com,US,Denim,High,Yes,Affiliate,Medium,Competitor,,MISSING
Hudson Jeans,hudsonjeans.com,US,Denim,Mid-High,Yes,Affiliate,Medium,Competitor,,MISSING
Flying Monkey,flyingmonkeyusa.com,US,Denim,Mid,Yes,Affiliate,Low,Competitor,,MISSING
Blank NYC,blanknyc.com,US,Denim,Mid,Yes,Affiliate,Medium,Competitor,,MISSING
KanCan,kancanusa.com,US,Denim,Mid,Yes,Affiliate,Low,Competitor,,MISSING
Pistola,pistolajean.com,US,Denim,Mid-High,Yes,Affiliate,Medium,Competitor,,MISSING
Habitual,habitual-la.com,US,Denim,Mid-High,Yes,Affiliate,Low,Competitor,,MISSING
L'Agence Denim,lagencefashion.com,US,Denim,High,Yes,Affiliate,Medium,Competitor,,MISSING
Veronica Beard Jeans,veronicabeard.com/jeans,US,Denim,High,Yes,Affiliate,Medium,Competitor,,MISSING
AYR,ayr.com,US,Denim,Mid-High,Yes,Affiliate,Medium,Competitor,,MISSING
Dôen,shopdoen.com,US,Contemporary,High,Yes,Affiliate,High,Competitor,,MISSING
Hill House Home,hillhousehome.com,US,Contemporary,Mid-High,Yes,Affiliate,High,Competitor,,MISSING
LoveShackFancy,loveshackfancy.com,US,Designer,High,Yes,Affiliate,High,Competitor,,MISSING
Sleeper,sleeper.com,Ukraine,Contemporary,Mid-High,Yes,Affiliate,High,Competitor,,MISSING
LESET,leset.com,US,Contemporary,High,Yes,Affiliate,Medium,Competitor,,MISSING
The Great,thisisthegreat.com,US,Contemporary,High,Yes,Affiliate,High,Competitor,,MISSING
Mother of Pearl,motherofpearl.co.uk,UK,Designer,High,Yes,Affiliate,Low,Competitor,,MISSING
Maggie Marilyn,maggiemarilyn.com,New Zealand,Designer,High,Yes,Affiliate,Medium,Competitor,,MISSING
Simkhai,simkhai.com,US,Designer,High,Yes,Affiliate,Medium,Competitor,,MISSING
Nanette Lepore,nanettele pore.com,US,Designer,Mid-High,Yes,Affiliate,Low,Competitor,,MISSING
Tanya Taylor,tanyataylor.com,US,Designer,High,Yes,Affiliate,Medium,Competitor,,MISSING
Mara Hoffman,marahoffman.com,US,Designer,High,Yes,Affiliate,Medium,Competitor,,MISSING
La Vie Style House,laviestylehouse.com,US,Contemporary,Mid,Yes,Affiliate,Low,Competitor,,MISSING
Farm Rio,farmrio.com,Brazil,Contemporary,Mid-High,Yes,Affiliate,High,Competitor,,MISSING
Lele Sadoughi,lelesadoughi.com,US,Accessories,Mid-High,Yes,Affiliate,Medium,Competitor,,MISSING
Clare V,clarev.com,US,Accessories,High,Yes,Affiliate,High,Competitor,,MISSING
Loeffler Randall,loefflerrandall.com,US,Shoes/Accessories,High,Yes,Affiliate,High,Competitor,,MISSING
Marysia,marysia.com,US,Swimwear,High,Yes,Affiliate,Medium,Competitor,,MISSING
Onia,onia.com,US,Swimwear,Mid-High,Yes,Affiliate,Medium,Competitor,,MISSING
Made by Dawn,madebydawn.com,US,Swimwear,High,Yes,Affiliate,Medium,Competitor,,MISSING
Agua Bendita,aguabyaguabendita.com,Colombia,Swimwear,Mid-High,Yes,Affiliate,Medium,Competitor,,MISSING
ViX Paula Hermanny,vixpaulahermanny.com,Brazil,Swimwear,High,Yes,Affiliate,Medium,Competitor,,MISSING
Suboo,suboo.com.au,Australia,Swimwear,Mid-High,Yes,Affiliate,Medium,Competitor,,MISSING
Lenni the Label,lennit helabel.com.au,Australia,Swimwear,Mid,Yes,Affiliate,Low,Competitor,,MISSING
Monday Swimwear,mondayswimwear.com,Australia,Swimwear,Mid,Yes,Affiliate,Medium,Competitor,,MISSING
Kiini,kiini.com,US,Swimwear,High,Limited,Manual,Low,Competitor,,MISSING
Oseree,oseree.com,Italy,Swimwear,High,Yes,Affiliate,Medium,Competitor,,MISSING
Andrea Iyamah,andreaiyamah.com,Canada,Swimwear,High,Limited,Manual,Low,Competitor,,MISSING
Mara Hoffman Swim,marahoffmanswim.com,US,Swimwear,High,Yes,Affiliate,Medium,Competitor,,MISSING
Beth Richards,bethrichards.com,US,Swimwear,High,Limited,Manual,Low,Competitor,,MISSING
Ganni Swimwear,ganni.com/swim,Denmark,Swimwear,Mid-High,Yes,Affiliate,Medium,Competitor,,MISSING
Solid & Striped,solidandstriped.com,US,Swimwear,Mid-High,Yes,Affiliate,High,Competitor,,MISSING
Hunza G,hunzag.com,UK,Swimwear,High,Yes,Affiliate,Medium,Competitor,,MISSING
Jade Swim,jadeswim.com,US,Swimwear,High,Yes,Affiliate,Medium,Competitor,,MISSING
Ozero Swimwear,ozeroswim.com,Australia,Swimwear,Mid,Limited,Manual,Low,Competitor,,MISSING
Abysse,abyssewear.com,Australia,Swimwear,Mid,Limited,Manual,Low,Competitor,,MISSING
Tropic of C,tropicof-c.com,US,Swimwear,Mid-High,Yes,Affiliate,Medium,Competitor,,MISSING
Peony,peonysw imwear.com,Australia,Swimwear,Mid,Yes,Affiliate,Medium,Competitor,,MISSING
Land of Women,landofwomen.com,Spain,Contemporary,Mid-High,Limited,Manual,Low,Competitor,,MISSING
Paloma Wool,palomawool.com,Spain,Contemporary,Mid-High,Yes,Affiliate,Medium,Competitor,,MISSING
Paloma Blue,palomablue.com,US,Contemporary,Mid-High,Limited,Manual,Low,Competitor,,MISSING
Rouje,rouje.com,France,Contemporary,Mid,Yes,Affiliate,High,Competitor,,MISSING
Sézane,sezane.com,France,Contemporary,Mid,Yes,Affiliate,High,Competitor,,MISSING
& Daughter,anddaughter.com,UK,Knitwear,High,Yes,Affiliate,Medium,Competitor,,MISSING
Extreme Cashmere,extremecashmere.com,Netherlands,Knitwear,High,Limited,Manual,Low,Competitor,,MISSING
Tibi,tibi.com,US,Contemporary,High,Yes,Affiliate,High,Competitor,,MISSING
Derek Lam 10 Crosby,dereklam.com,US,Contemporary,High,Yes,Affiliate,Medium,Competitor,,MISSING
Proenza Schouler,proenzaschouler.com,US,Designer,Luxury,Limited,Manual,Medium,Competitor,,MISSING
The Range,therange.la,US,Contemporary,High,Limited,Manual,Low,Competitor,,MISSING
Frankie Shop,thefrankieshop.com,France,Contemporary,High,Yes,Affiliate,High,Competitor,,MISSING
Gauge81,gauge81.com,UAE,Designer,High,Limited,Manual,Medium,Competitor,,MISSING
Bevza,bevza.com,Ukraine,Designer,High,Limited,Manual,Low,Competitor,,MISSING
Pyer Moss,pyermoss.com,US,Designer,Luxury,Limited,Manual,Low,Competitor,,MISSING
Wales Bonner,walesbonner.net,UK,Designer,Luxury,Limited,Manual,Low,Competitor,,MISSING
Matty Bovan,mattybovan.com,UK,Designer,Luxury,Limited,Manual,Low,Competitor,,MISSING
Marine Serre,marineserre.com,France,Designer,Luxury,Limited,Manual,Medium,Competitor,,MISSING
Bode,bodenewyork.com,US,Designer,Luxury,Limited,Manual,Medium,Competitor,,MISSING
Chopova Lowena,chopovalowena.com,UK,Designer,High,Limited,Manual,Low,Competitor,,MISSING
Poster Girl,postergirl.co.uk,UK,Designer,High,Limited,Manual,Medium,Competitor,,MISSING
Di Petsa,dipetsa.com,UK,Designer,High,Limited,Manual,Low,Competitor,,MISSING
LaQuan Smith,laquansmith.com,US,Designer,Luxury,Limited,Manual,Medium,Competitor,,MISSING
Christopher John Rogers,christopherjohnrogers.com,US,Designer,Luxury,Limited,Manual,Medium,Competitor,,MISSING
Chromat,chromat.co,US,Designer,High,Limited,Manual,Low,Competitor,,MISSING
Markarian,markarian.nyc,US,Designer,Luxury,Limited,Manual,Low,Competitor,,MISSING
Adam Lippes,adamlippes.com,US,Designer,Luxury,Limited,Manual,Low,Competitor,,MISSING
Brandon Maxwell,brandonmaxwell.com,US,Designer,Luxury,Limited,Manual,Medium,Competitor,,MISSING
Monse,monse.com,US,Designer,Luxury,Limited,Manual,Low,Competitor,,MISSING
Sandy Liang,sandyliang.info,US,Designer,High,Yes,Affiliate,High,Competitor,,MISSING
Susan Alexandra,susanalexandra.com,US,Accessories,Mid-High,Yes,Affiliate,Medium,Competitor,,MISSING
Edie Parker,edieparker.com,US,Accessories,High,Limited,Manual,Low,Competitor,,MISSING
Rachel Comey,rachelcomey.com,US,Designer,High,Yes,Affiliate,High,Competitor,,MISSING
Brock Collection,brockcollection.com,US,Designer,Luxury,Limited,Manual,Low,Competitor,,MISSING
Rejina Pyo,rejinapyo.com,UK,Designer,High,Yes,Affiliate,High,Competitor,,MISSING
Emilia Wickstead,emiliawickstead.com,UK,Designer,Luxury,Limited,Manual,Low,Competitor,,MISSING
Roksanda,roksanda.com,UK,Designer,Luxury,Limited,Manual,Medium,Competitor,,MISSING
Simone Rocha,simonerocha.com,UK,Designer,Luxury,Limited,Manual,Medium,Competitor,,MISSING
Molly Goddard,mollygoddard.com,UK,Designer,High,Limited,Manual,Medium,Competitor,,MISSING
Richard Quinn,richardquinn.com,UK,Designer,High,Limited,Manual,Low,Competitor,,MISSING
Victoria Beckham,victoriabeckham.com,UK,Designer,Luxury,Limited,Manual,Medium,Competitor,,MISSING
Stella McCartney,stellamccartney.com,UK,Designer,Luxury,Limited,Manual,High,Competitor,,MISSING
Self-Portrait,self-portrait-studio.com,UK,Designer,High,Yes,Affiliate,High,Competitor,,MISSING
Needle & Thread,needleandthread.com,UK,Designer,Mid-High,Yes,Affiliate,High,Competitor,,MISSING
Temperley London,temperleylondon.com,UK,Designer,High,Yes,Affiliate,Medium,Competitor,,MISSING
Erdem,erdem.com,UK,Designer,Luxury,Limited,Manual,Low,Competitor,,MISSING
Mary Katrantzou,marykatrantzou.com,UK,Designer,Luxury,Limited,Manual,Low,Competitor,,MISSING
Delpozo,delpozo.com,Spain,Designer,Luxury,Limited,Manual,Low,Competitor,,MISSING
Loewe,loewe.com,Spain,Designer,Luxury,Limited,Manual,High,Competitor,,MISSING
Isabel Marant,isabelmarant.com,France,Designer,High,Yes,Affiliate,High,Competitor,,MISSING
Étoile Isabel Marant,isabelmarant.com/etoile,France,Designer,Mid-High,Yes,Affiliate,High,Competitor,,MISSING
IRO,iro.fr,France,Designer,Mid-High,Yes,Affiliate,High,Competitor,,MISSING
Zadig & Voltaire,zadig-et-voltaire.com,France,Designer,Mid-High,Yes,Affiliate,High,Competitor,,MISSING
APC,apc-us.com,France,Contemporary,Mid-High,Yes,Affiliate,High,Competitor,,MISSING
Rouje,rouje.com,France,Contemporary,Mid,Yes,Affiliate,High,Competitor,,MISSING
Sézane,sezane.com,France,Contemporary,Mid,Yes,Affiliate,High,Competitor,,MISSING
Rime Arodaky,rimearodaky.com,France,Designer,Luxury,Limited,Manual,Low,Competitor,,MISSING
Chloé,chloe.com,France,Designer,Luxury,Limited,Manual,High,Competitor,,MISSING
Saint Laurent,ysl.com,France,Designer,Luxury,Limited,Manual,High,Competitor,,MISSING
Balmain,balmain.com,France,Designer,Luxury,Limited,Manual,Medium,Competitor,,MISSING
Givenchy,givenchy.com,France,Designer,Luxury,Limited,Manual,Medium,Competitor,,MISSING
Dior,dior.com,France,Designer,Ultra-Luxury,Limited,Manual,High,Competitor,,MISSING
Hermès,hermes.com,France,Designer,Ultra-Luxury,Limited,Manual,High,Competitor,,MISSING
Louis Vuitton,louisvuitton.com,France,Designer,Ultra-Luxury,Limited,Manual,High,Competitor,,MISSING
Chanel,chanel.com,France,Designer,Ultra-Luxury,No,Manual,High,Competitor,,MISSING
Céline,celine.com,France,Designer,Luxury,Limited,Manual,High,Competitor,,MISSING
Valentino,valentino.com,Italy,Designer,Luxury,Limited,Manual,High,Competitor,,MISSING
Gucci,gucci.com,Italy,Designer,Luxury,Limited,Manual,High,Competitor,,MISSING
Prada,prada.com,Italy,Designer,Luxury,Limited,Manual,High,Competitor,,MISSING
Miu Miu,miumiu.com,Italy,Designer,Luxury,Limited,Manual,High,Competitor,,MISSING
Bottega Veneta,bottegaveneta.com,Italy,Designer,Luxury,Limited,Manual,High,Competitor,,MISSING
Fendi,fendi.com,Italy,Designer,Luxury,Limited,Manual,High,Competitor,,MISSING
Versace,versace.com,Italy,Designer,Luxury,Limited,Manual,High,Competitor,,MISSING
Dolce & Gabbana,dolcegabbana.com,Italy,Designer,Luxury,Limited,Manual,Medium,Competitor,,MISSING
Salvatore Ferragamo,ferragamo.com,Italy,Designer,Luxury,Limited,Manual,Medium,Competitor,,MISSING
Tod's,tods.com,Italy,Designer,Luxury,Limited,Manual,Low,Competitor,,MISSING
Max Mara,maxmara.com,Italy,Designer,High,Yes,Affiliate,High,Competitor,,MISSING
Weekend Max Mara,weekendmaxmara.com,Italy,Designer,Mid-High,Yes,Affiliate,Medium,Competitor,,MISSING
Brunello Cucinelli,brunellocucinelli.com,Italy,Designer,Ultra-Luxury,Limited,Manual,Low,Competitor,,MISSING
Loro Piana,loropiana.com,Italy,Designer,Ultra-Luxury,Limited,Manual,Low,Competitor,,MISSING
Etro,etro.com,Italy,Designer,Luxury,Limited,Manual,Low,Competitor,,MISSING
Missoni,missoni.com,Italy,Designer,Luxury,Limited,Manual,Medium,Competitor,,MISSING
Marni,marni.com,Italy,Designer,Luxury,Limited,Manual,Medium,Competitor,,MISSING
Jil Sander,jilsander.com,Germany,Designer,Luxury,Limited,Manual,Medium,Competitor,,MISSING
Hugo Boss,hugoboss.com,Germany,Designer,Mid-High,Yes,Affiliate,High,Competitor,,MISSING
Closed,closed.com,Germany,Contemporary,Mid-High,Yes,Affiliate,Medium,Competitor,,MISSING
Wolford,wolford.com,Austria,Hosiery,High,Yes,Affiliate,Medium,Competitor,,MISSING
Falke,falke.com,Germany,Hosiery,Mid-High,Yes,Affiliate,Low,Competitor,,MISSING
Calzedonia,calzedonia.com,Italy,Hosiery,Budget-Mid,Yes,Affiliate,Medium,Competitor,,MISSING
Intimissimi,intimissimi.com,Italy,Intimates,Budget-Mid,Yes,Affiliate,High,Competitor,,MISSING
Tezenis,tezenis.com,Italy,Intimates,Budget,Yes,Affiliate,Medium,Competitor,,MISSING
La Perla,laperla.com,Italy,Intimates,Luxury,Limited,Manual,Low,Competitor,,MISSING
Agent Provocateur,agentprovocateur.com,UK,Intimates,Luxury,Yes,Affiliate,Medium,Competitor,,MISSING
Fleur du Mal,fleurdumal.com,US,Intimates,High,Yes,Affiliate,Medium,Competitor,,MISSING
Journelle,journelle.com,US,Intimates,Mid-High,Yes,Affiliate,Medium,Competitor,,MISSING
Only Hearts,onlyhearts.com,US,Intimates,Mid,Yes,Affiliate,Low,Competitor,,MISSING
The Great Eros,thegreateros.com,US,Intimates,High,Limited,Manual,Low,Competitor,,MISSING
Lonely,lonelylabel.com,New Zealand,Intimates,Mid-High,Yes,Affiliate,Medium,Competitor,,MISSING
Love Stories,lovestoriesintimates.com,Netherlands,Intimates,Mid,Yes,Affiliate,Medium,Competitor,,MISSING
Spell & The Gypsy Collective,spell.co,Australia,Contemporary,Mid-High,Yes,Affiliate,High,Competitor,,MISSING
Auguste The Label,augustethelabel.com,Australia,Contemporary,Mid,Yes,Affiliate,Medium,Competitor,,MISSING
Tigerlily,tigerlilyswimwear.com,Australia,Swimwear,Mid,Yes,Affiliate,Medium,Competitor,,MISSING
Indah,indahclothing.com,Indonesia,Contemporary,Mid,Yes,Affiliate,Medium,Competitor,,MISSING
Natalie Martin,nataliemartin.com,US,Contemporary,Mid-High,Yes,Affiliate,Medium,Competitor,,MISSING
Jen's Pirate Booty,jenspir atebooty.com,US,Contemporary,Mid,Yes,Affiliate,Low,Competitor,,MISSING
Wildfox,wildfoxcouture.com,US,Contemporary,Mid,Yes,Affiliate,Medium,Competitor,,MISSING
Spiritual Gangster,spiritualgangster.com,US,Activewear,Mid,Yes,Affiliate,Medium,Competitor,,MISSING
Aviator Nation,aviatornation.com,US,Contemporary,Mid-High,Yes,Affiliate,High,Competitor,,MISSING
Mikoh,mikohswimwear.com,US,Swimwear,High,Yes,Affiliate,High,Competitor,,MISSING
Minkpink,minkpink.com,Australia,Fast Fashion,Budget-Mid,Yes,Affiliate,Medium,Competitor,,MISSING
Finders Keepers,finderskeepersth elabel.com,Australia,Contemporary,Mid,Yes,Affiliate,Medium,Competitor,,MISSING
C/MEO Collective,cmeo collective.com,Australia,Contemporary,Mid,Yes,Affiliate,High,Competitor,,MISSING
Keepsake,keepsake thelabel.com,Australia,Contemporary,Mid,Yes,Affiliate,High,Competitor,,MISSING
Maurie & Eve,maurieandeve.com,Australia,Contemporary,Mid-High,Yes,Affiliate,Medium,Competitor,,MISSING
Bec & Bridge,becandbridge.com.au,Australia,Designer,High,Yes,Affiliate,High,Competitor,,MISSING
Camilla,camilla.com.au,Australia,Designer,High,Yes,Affiliate,Medium,Competitor,,MISSING
Camilla and Marc,camillaandmarc.com,Australia,Designer,High,Yes,Affiliate,Medium,Competitor,,MISSING
Friend of Audrey,friendofaudrey.com,Australia,Contemporary,Mid,Yes,Affiliate,Low,Competitor,,MISSING
Acler,acler.com.au,Australia,Designer,High,Yes,Affiliate,Medium,Competitor,,MISSING
Dion Lee,dionlee.com,Australia,Designer,Luxury,Limited,Manual,Medium,Competitor,,MISSING
Manning Cartell,manningcartell.com.au,Australia,Designer,High,Yes,Affiliate,Medium,Competitor,,MISSING
By Johnny,byjohnny.com.au,Australia,Designer,High,Yes,Affiliate,Medium,Competitor,,MISSING
Significant Other,significantother.com.au,Australia,Designer,High,Yes,Affiliate,Medium,Competitor,,MISSING
Talulah,talulah.com.au,Australia,Contemporary,Mid,Yes,Affiliate,Medium,Competitor,,MISSING
BEC + BRIDGE,becandbridge.com.au,Australia,Designer,High,Yes,Affiliate,High,Competitor,,MISSING
Hansen & Gretel,hansenandgretel.com,Australia,Designer,High,Limited,Manual,Low,Competitor,,MISSING
Anna Quan,annaquan.com,Australia,Designer,High,Yes,Affiliate,Medium,Competitor,,MISSING
Georgia Alice,georgiaalice.com,Australia,Designer,High,Limited,Manual,Low,Competitor,,MISSING
Kacey Devlin,kaceydevlin.com,Australia,Designer,Mid-High,Limited,Manual,Low,Competitor,,MISSING
Christopher Esber,christopheresber.com.au,Australia,Designer,High,Yes,Affiliate,High,Competitor,,MISSING
Lee Mathews,leemathews.com.au,Australia,Designer,High,Yes,Affiliate,Medium,Competitor,,MISSING
Beare Park,bearepark.com,Australia,Designer,High,Limited,Manual,Low,Competitor,,MISSING
St. Agni,st-agni.com,Australia,Accessories,Mid-High,Yes,Affiliate,Medium,Competitor,,MISSING
Cult Gaia,cultgaia.com,US,Designer,High,Yes,Affiliate,High,Competitor,,MISSING
Staud,staud.clothing,US,Designer,High,Yes,Affiliate,Critical,Competitor,,MISSING
Georgia Hardinge,georgiahardinge.com,UK,Designer,High,Limited,Manual,Low,Competitor,,MISSING
Mara Hoffman,marahoffman.com,US,Designer,High,Yes,Affiliate,High,Competitor,,MISSING
Vince Camuto,vincecamuto.com,US,Contemporary,Mid,Yes,Affiliate,High,LTK,,MISSING
Betsey Johnson,betseyjohnson.com,US,Designer,Mid,Yes,Affiliate,Medium,LTK,,MISSING
Desigual,desigual.com,Spain,Contemporary,Mid,Yes,Affiliate,Medium,Competitor,,MISSING
Anthropologie Home,anthropologie.com/home,US,Lifestyle,Mid-High,Yes,Affiliate,Low,LTK,,MISSING
West Elm,westelm.com,US,Lifestyle,Mid,Yes,Affiliate,Low,LTK,,MISSING
CB2,cb2.com,US,Lifestyle,Mid-High,Yes,Affiliate,Low,LTK,,MISSING
Crate & Barrel,crateandbarrel.com,US,Lifestyle,Mid,Yes,Affiliate,Low,LTK,,MISSING
Pottery Barn,potterybarn.com,US,Lifestyle,Mid-High,Yes,Affiliate,Low,LTK,,MISSING
Williams Sonoma,williams-sonoma.com,US,Lifestyle,Mid-High,Yes,Affiliate,Low,LTK,,MISSING
Serena & Lily,serenaandlily.com,US,Lifestyle,High,Yes,Affiliate,Low,Competitor,,MISSING
Parachute,parachutehome.com,US,Lifestyle,Mid-High,Yes,Affiliate,Low,Competitor,,MISSING
Brooklinen,brooklinen.com,US,Lifestyle,Mid,Yes,Affiliate,Low,Competitor,,MISSING
Boll & Branch,bollandbranch.com,US,Lifestyle,High,Yes,Affiliate,Low,Competitor,,MISSING
Coyuchi,coyuchi.com,US,Lifestyle,High,Yes,Affiliate,Low,Competitor,,MISSING
Ettitude,ettitude.com,Australia,Lifestyle,Mid,Yes,Affiliate,Low,Competitor,,MISSING
Buffy,buffy.co,US,Lifestyle,Mid,Limited,Manual,Low,Competitor,,MISSING
Snowe,snowehome.com,US,Lifestyle,Mid,Limited,Manual,Low,Competitor,,MISSING
Parachute Home,parachutehome.com,US,Lifestyle,Mid-High,Yes,Affiliate,Low,Competitor,,MISSING
Hill House Home,hillhousehome.com,US,Lifestyle,Mid-High,Yes,Affiliate,Medium,Competitor,,MISSING
The Citizenry,the-citizenry.com,US,Lifestyle,High,Yes,Affiliate,Low,Competitor,,MISSING
Goop,goop.com,US,Lifestyle,Luxury,Yes,Affiliate,Medium,Competitor,,MISSING
Véronique Branquinho,veroniquebranquinho.be,Belgium,Designer,Luxury,Limited,Manual,Low,Competitor,,MISSING
Dries Van Noten,driesvannoten.com,Belgium,Designer,Luxury,Limited,Manual,Medium,Competitor,,MISSING
Ann Demeulemeester,anndemeulemeester.com,Belgium,Designer,Luxury,Limited,Manual,Low,Competitor,,MISSING
Haider Ackermann,haiderackermann.com,Colombia/Belgium,Designer,Luxury,Limited,Manual,Low,Competitor,,MISSING
Maison Margiela,maisonmargiela.com,France,Designer,Luxury,Limited,Manual,High,Competitor,,MISSING
MM6 Maison Margiela,mm6maisonmargiela.com,France,Designer,High,Limited,Manual,Medium,Competitor,,MISSING
Comme des Garçons,comme-des-garcons.com,Japan,Designer,Luxury,Limited,Manual,High,Competitor,,MISSING
Issey Miyake,isseymiyake.com,Japan,Designer,Luxury,Limited,Manual,Medium,Competitor,,MISSING
Yohji Yamamoto,yohjiyamamoto.co.jp,Japan,Designer,Luxury,Limited,Manual,Low,Competitor,,MISSING
Sacai,sacai.jp,Japan,Designer,Luxury,Limited,Manual,Medium,Competitor,,MISSING
Junya Watanabe,junya-watanabe.com,Japan,Designer,Luxury,Limited,Manual,Low,Competitor,,MISSING
Toga,toga.jp,Japan,Designer,High,Limited,Manual,Low,Competitor,,MISSING
Undercover,undercoverism.com,Japan,Designer,High,Limited,Manual,Medium,Competitor,,MISSING
Visvim,visvim.tv,Japan,Designer,Luxury,Limited,Manual,Low,Competitor,,MISSING
Kapital,kapital.jp,Japan,Designer,High,Limited,Manual,Medium,Competitor,,MISSING
Porter-Yoshida & Co,yoshidakaban.com,Japan,Accessories,High,Limited,Manual,Low,Competitor,,MISSING
Beams,beams.co.jp,Japan,Marketplace,Mid,Limited,Manual,Low,Competitor,,MISSING
United Arrows,united-arrows.co.jp,Japan,Marketplace,Mid-High,Limited,Manual,Low,Competitor,,MISSING
Journal Standard,journal-standard.jp,Japan,Contemporary,Mid,Limited,Manual,Low,Competitor,,MISSING
Enfold,enfold.jp,Japan,Contemporary,Mid-High,Limited,Manual,Low,Competitor,,MISSING
Auralee,auralee.jp,Japan,Contemporary,High,Limited,Manual,Low,Competitor,,MISSING
Hyke,hykebrand.com,Japan,Contemporary,High,Limited,Manual,Medium,Competitor,,MISSING
Lemaire,lemaire.fr,France,Designer,Luxury,Limited,Manual,Medium,Competitor,,MISSING
Christophe Lemaire,lemaire.fr,France,Designer,Luxury,Limited,Manual,Low,Competitor,,MISSING
COS,cosstores.com,Sweden,Contemporary,Mid,Yes,Affiliate,High,Competitor,,MISSING
Arket,arket.com,Sweden,Contemporary,Mid,Yes,Affiliate,High,Competitor,,MISSING
Filippa K,filippa-k.com,Sweden,Contemporary,Mid-High,Yes,Affiliate,High,Competitor,,MISSING
Hope,hope-sthlm.com,Sweden,Contemporary,Mid-High,Yes,Affiliate,Medium,Competitor,,MISSING
Rodebjer,rodebjer.com,Sweden,Contemporary,Mid-High,Yes,Affiliate,Medium,Competitor,,MISSING
By Malene Birger,bymalenebirger.com,Denmark,Contemporary,Mid-High,Yes,Affiliate,High,Competitor,,MISSING
Baum und Pferdgarten,baumundpferdgarten.com,Denmark,Designer,Mid-High,Yes,Affiliate,High,Competitor,,MISSING
Stine Goya,stinegoya.com,Denmark,Designer,Mid-High,Yes,Affiliate,High,Competitor,,MISSING
Lovechild 1979,lovechild1979.com,Denmark,Contemporary,Mid-High,Yes,Affiliate,Medium,Competitor,,MISSING
Samsøe Samsøe,samsoe.com,Denmark,Contemporary,Mid,Yes,Affiliate,High,Competitor,,MISSING
Norse Projects,norseprojects.com,Denmark,Contemporary,Mid-High,Yes,Affiliate,High,Competitor,,MISSING
Won Hundred,wonhundred.com,Denmark,Contemporary,Mid,Yes,Affiliate,Medium,Competitor,,MISSING
Munthe,munthe.com,Denmark,Designer,Mid-High,Yes,Affiliate,Medium,Competitor,,MISSING
Gestuz,gestuz.com,Denmark,Contemporary,Mid,Yes,Affiliate,Medium,Competitor,,MISSING
Second Female,secondfemale.com,Denmark,Contemporary,Mid,Yes,Affiliate,High,Competitor,,MISSING
Envii,envii.com,Denmark,Contemporary,Budget-Mid,Yes,Affiliate,Medium,Competitor,,MISSING
Bruuns Bazaar,bruunsbazaar.com,Denmark,Contemporary,Mid-High,Yes,Affiliate,Medium,Competitor,,MISSING
